FROM,TO,LINK,EVENT
3/28/1945,5/2/1945,https://ww2db.com/battle_spec.php?battle_id=322,Southern Germany Campaign
4/1/1945,6/21/1945,https://ww2db.com/battle_spec.php?battle_id=15,Okinawa Campaign
4/1/1945,6/30/1945,https://ww2db.com/battle_spec.php?battle_id=186,Battle of Zhijiang
4/2/1945,4/13/1945,https://ww2db.com/battle_spec.php?battle_id=285,Battle of Vienna
4/6/1945,5/20/1945,https://ww2db.com/battle_spec.php?battle_id=334,Georgian Texel Uprising
4/9/1945,5/2/1945,https://ww2db.com/battle_spec.php?battle_id=305,Operation Grapeshot and Operation Roast
4/11/1945,8/15/1945,https://ww2db.com/battle_spec.php?battle_id=166,Borneo Campaign
4/16/1945,5/2/1945,https://ww2db.com/battle_spec.php?battle_id=43,Battle of Berlin
4/25/1945,5/6/1945,https://ww2db.com/battle_spec.php?battle_id=191,Battle of Rangoon
4/26/1945,4/29/1945,https://ww2db.com/battle_spec.php?battle_id=304,Battles of Collecchio and Fornovo di Taro
4/29/1945,5/10/1945,https://ww2db.com/battle_spec.php?battle_id=333,"Operations Manna, Chowhound, and Faust"
5/6/1945,5/11/1945,https://ww2db.com/battle_spec.php?battle_id=310,Prague Strategic Offensive
5/7/1945,5/7/1945,https://ww2db.com/battle_spec.php?battle_id=152,Germany's Surrender
7/14/1945,8/9/1945,https://ww2db.com/battle_spec.php?battle_id=54,Preparations for Invasion of Japan
7/16/1945,7/16/1945,https://ww2db.com/battle_spec.php?battle_id=206,Operation Trinity and Manhattan Project
7/16/1945,7/26/1945,https://ww2db.com/battle_spec.php?battle_id=81,Potsdam Conference
8/6/1945,8/9/1945,https://ww2db.com/battle_spec.php?battle_id=49,Atomic Bombing of Hiroshima and Nagasaki
8/9/1945,9/2/1945,https://ww2db.com/battle_spec.php?battle_id=167,Manchurian Strategic Offensive
8/14/1945,9/2/1945,https://ww2db.com/battle_spec.php?battle_id=13,Japan's Surrender
10/18/1945,4/13/1949,https://ww2db.com/battle_spec.php?battle_id=220,Nuremberg Trials and Other Trials Against Germany
5/3/1946,11/12/1948,https://ww2db.com/battle_spec.php?battle_id=221,Tokyo Trial and Other Trials Against Japan
7/29/1946,10/15/1946,https://ww2db.com/battle_spec.php?battle_id=317,Paris Peace Conference
9/8/1951,9/8/1951,https://ww2db.com/battle_spec.php?battle_id=316,San Francisco Peace Conference
